Round,CNN_Accuracy,SVM_Accuracy,Ensemble_Accuracy,Loss,Precision,Recall,F1
1,0.7127882599580713,0.5807127882599581,0.6058700209643606,0.0,0.7448322426289531,0.6058700209643606,0.5996126313953543
2,0.7044025157232704,0.5283018867924528,0.6708595387840671,0.0,0.7828501678117924,0.6708595387840671,0.6339579174447376
3,0.7337526205450734,0.6771488469601677,0.6771488469601677,0.0,0.5754933542494617,0.6771488469601677,0.6076361912049889
4,0.8155136268343816,0.7568134171907757,0.7589098532494759,0.0,0.8168275139099729,0.7589098532494759,0.7243408889566783
5,0.8113207547169812,0.7756813417190775,0.7316561844863732,0.0,0.7762072933006802,0.7316561844863732,0.6964862678419099
6,0.8071278825995807,0.7735849056603774,0.7211740041928721,0.0,0.7741004971557357,0.7211740041928721,0.6852934936683789
7,0.909853249475891,0.9077568134171907,0.8951781970649895,0.0,0.8977410580732239,0.8951781970649895,0.8938328533794805
8,0.8909853249475891,0.8637316561844863,0.870020964360587,0.0,0.8829261738031097,0.870020964360587,0.8693238614091792
9,0.9119496855345912,0.8867924528301887,0.8972746331236897,0.0,0.9004963049143311,0.8972746331236897,0.8935914010729923
10,0.8784067085953878,0.8574423480083857,0.8616352201257862,0.0,0.8831460385816066,0.8616352201257862,0.8556117891618116
11,0.9287211740041929,0.9475890985324947,0.9203354297693921,0.0,0.9250323016082393,0.9203354297693921,0.9199234866414838
12,0.9014675052410901,0.949685534591195,0.9182389937106918,0.0,0.9237914981143363,0.9182389937106918,0.9161821311571591
13,0.9308176100628931,0.8972746331236897,0.8658280922431866,0.0,0.8905246462493086,0.8658280922431866,0.8625174834839727
14,0.9308176100628931,0.9622641509433962,0.9014675052410901,0.0,0.9156152794037727,0.9014675052410901,0.9017805674948418
15,0.9412997903563941,0.9035639412997903,0.9287211740041929,0.0,0.9293604170612557,0.9287211740041929,0.9277789813757282
16,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.0,0.9258191980594168,0.9245283018867925,0.9229335565956539
17,0.9517819706498952,0.9266247379454927,0.9308176100628931,0.0,0.9355263700097978,0.9308176100628931,0.9291080510060361
18,0.949685534591195,0.9371069182389937,0.9412997903563941,0.0,0.9425927587532984,0.9412997903563941,0.9405630413080637
19,0.8825995807127882,0.8742138364779874,0.8658280922431866,0.0,0.8829925974668396,0.8658280922431866,0.8570995820960967
20,0.9287211740041929,0.9329140461215933,0.9245283018867925,0.0,0.9253537969672464,0.9245283018867925,0.9227298691245771
21,0.9475890985324947,0.9538784067085954,0.9433962264150944,0.0,0.9469249969965339,0.9433962264150944,0.942487426419871
22,0.9580712788259959,0.9580712788259959,0.949685534591195,0.0,0.9506320096212351,0.949685534591195,0.9487347687686937
23,0.870020964360587,0.8427672955974843,0.8490566037735849,0.0,0.8795362399349181,0.8490566037735849,0.8496045465321225
24,0.9371069182389937,0.9287211740041929,0.9182389937106918,0.0,0.9242380284354075,0.9182389937106918,0.9169553678210249
25,0.9643605870020965,0.9685534591194969,0.9371069182389937,0.0,0.9420340721664866,0.9371069182389937,0.9355759327131541
26,0.9664570230607966,0.9664570230607966,0.949685534591195,0.0,0.9524321759903309,0.949685534591195,0.9489969254112798
27,0.9475890985324947,0.9433962264150944,0.9412997903563941,0.0,0.942990896566278,0.9412997903563941,0.9397680824303716
28,0.9433962264150944,0.9161425576519916,0.9350104821802935,0.19234480889797084,0.9361555819128273,0.9350104821802935,0.9332674383582892
29,0.9308176100628931,0.949685534591195,0.9350104821802935,0.0,0.9363131556459421,0.9350104821802935,0.934381300336166
30,0.9329140461215933,0.9350104821802935,0.9287211740041929,0.0,0.9326472876643362,0.9287211740041929,0.9278442498683644
31,0.9580712788259959,0.9664570230607966,0.9538784067085954,0.0,0.9546216816028136,0.9538784067085954,0.9538188414420776
32,0.9622641509433962,0.9517819706498952,0.9454926624737946,0.0,0.9489326258401636,0.9454926624737946,0.9451124679166679
33,0.9119496855345912,0.9140461215932913,0.8930817610062893,0.0,0.906652678353223,0.8930817610062893,0.8929692809671252
34,0.9622641509433962,0.939203354297694,0.9266247379454927,0.0,0.9327406455661145,0.9266247379454927,0.9241197385530885
35,0.939203354297694,0.9119496855345912,0.9266247379454927,0.0,0.9361455342041393,0.9266247379454927,0.9259310323551224
36,0.9685534591194969,0.960167714884696,0.9622641509433962,0.0,0.9634295071147168,0.9622641509433962,0.9616625855433379
37,0.9014675052410901,0.8951781970649895,0.8909853249475891,0.0,0.9043902925893573,0.8909853249475891,0.890505989171265
38,0.9538784067085954,0.9454926624737946,0.949685534591195,0.0,0.9534529745462491,0.949685534591195,0.9487377486299642
39,0.6540880503144654,0.6121593291404612,0.6247379454926625,0.0,0.8353474725934487,0.6247379454926625,0.6181690421552892
40,0.8825995807127882,0.8658280922431866,0.8553459119496856,0.0,0.8790877862027512,0.8553459119496856,0.8517835638493844
